Drugbank id	Weight (Da)
DB00653	120.368
DB00654	432.5928
DB00655	270.3661
DB00656	371.864
DB00657	167.2911
DB00658	149.619
DB00659	181.21
DB00660	221.2524
DB00661	454.6016
DB00662	388.4574
DB00663	410.458
DB00664	280.303
DB00665	317.2207
DB00666	1322.496
DB00668	183.2044
DB00669	295.4
DB00670	351.4023
DB00671	453.45
DB00672	276.74
DB00673	534.4267
DB00674	287.3535
DB00675	371.5146
DB00676	212.2439
DB00677	184.1457
DB00678	422.911
DB00679	370.575
DB00680	427.517
DB00681	924.079
DB00682	308.3279
DB00683	325.767
DB00684	467.5145
DB00685	416.36
DB00686	602.497
DB00687	380.4504
DB00688	433.4947
DB00689	405.425
DB00690	387.878
DB00691	498.5681
DB00692	281.3523
DB00693	332.3063
DB00694	527.5199
DB00695	330.744
DB00696	581.6615
DB00697	253.711
DB00698	238.159
DB00699	484.386
DB00700	414.4914
DB00701	505.627
DB00702	-1
DB00703	236.26
DB00704	341.4009
DB00705	456.561
DB00706	408.512
DB00707	-1
DB00708	386.551
DB00709	229.256
DB00710	319.2289
DB00711	199.2932
DB00712	244.2609
DB00713	401.436
DB00714	267.3224
DB00715	329.3654
DB00716	371.3408
DB00717	298.4192
DB00718	501.4705
DB00719	290.4021
DB00720	244.892
DB00721	236.3101
DB00722	405.4879
DB00723	211.2576
DB00724	240.3036
DB00725	370.281
DB00726	294.4338
DB00727	227.0865
DB00728	529.7742
DB00730	201.248
DB00731	317.429
DB00732	1243.49
DB00733	137.1592
DB00734	410.4845
DB00735	287.3981
DB00736	345.416
DB00737	390.948
DB00738	340.4195
DB00739	389.469
DB00740	234.198
DB00741	362.4599
DB00742	182.1718
DB00743	667.73
DB00744	236.29
DB00745	273.35
DB00746	560.684
DB00747	303.3529
DB00748	290.788
DB00749	287.3535
DB00750	220.3107
DB00751	249.3104
DB00752	133.194
DB00753	184.492
DB00754	204.2252
DB00755	300.442
DB00756	406.904
DB00757	324.38
DB00758	321.822
DB00759	444.4346
DB00760	383.463
DB00761	74.551
DB00762	586.678
DB00763	114.169
DB00764	427.361
DB00765	195.2151
DB00766	199.1608
DB00767	404.4999
DB00768	337.4122
DB00769	475.6175
DB00770	354.487
DB00771	352.4467
DB00772	330.358
DB00773	588.5566
DB00774	331.292
DB00775	440.597
DB00776	252.268
DB00777	340.482
DB00778	837.0465
DB00779	232.2353
DB00780	136.1943
DB00781	1203.499
DB00782	368.4892
DB00783	272.382
DB00784	241.2851
DB00785	-1
DB00786	331.4079
DB00787	225.2046
DB00788	230.2592
DB00789	547.58
DB00790	368.4678
DB00791	252.098
DB00792	255.358
DB00793	361.391
DB00794	218.2518
DB00795	398.393
DB00796	610.671
DB00797	160.2157
DB00798	477.5954
DB00799	351.462
DB00800	305.756
DB00801	352.738
DB00802	416.5172
DB00803	1155.455
DB00804	309.4867
DB00805	298.3828
DB00806	278.307
DB00807	294.3892
DB00808	365.835
DB00809	284.3529
DB00810	311.4611
DB00811	244.2047
DB00812	308.3743
DB00813	336.4705
DB00814	351.401
DB00815	288.379
DB00816	211.2576
DB00817	294.3047
DB00818	178.2707
DB00819	222.245
DB00820	389.404
DB00821	273.714
DB00822	296.539
DB00823	384.5085
DB00824	194.1906
DB00825	156.2652
DB00826	665.733
DB00827	262.2182
DB00828	138.059
DB00829	284.74
DB00830	177.2429
DB00831	407.496
DB00832	189.2105
DB00833	367.807
DB00834	429.5937
DB00835	319.239
DB00836	477.038
DB00837	334.78
DB00838	410.907
DB00839	311.4
DB00841	301.3801
DB00842	286.713
DB00843	379.492
DB00844	357.4434
DB00845	473.396
DB00846	436.5136
DB00847	77.149
DB00848	204.291
DB00849	246.2619
DB00850	403.969
DB00851	182.187
DB00852	165.2322
DB00853	194.1508
DB00854	257.3706
DB00855	131.1299
DB00856	202.635
DB00857	291.4299
DB00858	304.4669
DB00859	149.211
DB00860	360.444
DB00861	250.1976
DB00862	488.603
DB00863	314.4
DB00864	804.0182
DB00865	239.3553
DB00866	249.3486
DB00867	287.3535
DB00868	603.7419
DB00869	324.44
DB00870	260.308
DB00871	225.2842
DB00872	498.5744
DB00873	394.889
DB00874	198.2158
DB00875	434.52
DB00876	424.513
DB00877	914.187
DB00878	505.447
DB00879	247.247
DB00880	295.723
DB00881	438.5161
DB00882	405.96
DB00883	236.1363
DB00884	283.1123
DB00886	408.53
DB00887	364.416
DB00888	156.054
DB00889	312.417
DB00890	266.34
DB00891	249.289
DB00892	308.4158
DB00893	-1
DB00894	300.3921
DB00895	626.765
DB00896	370.533
DB00897	343.21
DB00898	46.0684
DB00899	376.4467
DB00900	236.2273
DB00901	461.5494
DB00902	296.43
DB00903	303.138
DB00904	293.363
DB00905	415.5656
DB00906	375.548
DB00907	303.3529
DB00908	324.4168
DB00909	212.226
DB00910	416.6365
DB00911	247.272
DB00912	452.5857
DB00913	352.4699
DB00914	205.2596
DB00915	151.2487
DB00916	171.154
DB00917	352.4651
DB00918	335.464
DB00919	332.3496
DB00920	309.425
DB00921	467.6401
DB00922	280.2847
DB00923	519.554
DB00924	275.3874
DB00925	303.826
DB00926	354.4825
DB00927	337.445
DB00928	244.2047
DB00929	382.5341
DB00930	-1
DB00931	442.424
DB00932	602.664
DB00933	386.574
DB00934	277.4033
DB00935	260.3746
DB00936	138.1207
DB00937	205.2961
DB00938	415.5656
DB00939	296.149
DB00940	340.436
DB00941	502.745
DB00942	287.4397
DB00943	211.2178
DB00944	556.7797
DB00945	180.1574
DB00946	280.3178
DB00947	606.78
DB00948	539.582
DB00949	238.2399
DB00950	501.6564
DB00951	137.1393
DB00952	335.464
DB00953	269.3449
DB00954	835.086
DB00955	475.587
DB00956	299.3642
DB00957	369.4971
DB00958	371.254
DB00959	374.4706
DB00960	248.3208
DB00961	246.348
DB00962	305.3339
DB00963	334.165
DB00964	245.109
DB00965	-1
DB00966	514.6169
DB00967	310.821
DB00968	211.2145
DB00969	294.351
DB00970	1255.417
DB00971	143.09
DB00972	381.898
DB00973	409.4252
DB00974	292.2426
DB00975	504.6256
DB00976	812.018
DB00977	296.4034
DB00978	351.3479
DB00979	291.3853
DB00980	259.3434
DB00981	275.3461
DB00982	300.4351
DB00983	344.4049
DB00984	406.5571
DB00985	469.97
DB00986	318.4305
DB00987	243.2166
DB00988	153.1784
DB00989	250.3367
DB00990	296.4034
DB00991	293.3166
DB00992	145.1564
DB00993	277.263
DB00994	-1
DB00995	678.484
DB00996	171.2368
DB00997	543.5193
DB00998	243.3043
DB00999	297.739
DB01000	341.426
DB01001	239.3107
DB01002	288.4277
DB01003	468.3665
DB01004	255.2306
DB01005	76.0547
DB01006	285.3027
DB01007	387.711
DB01008	246.302
DB01009	254.2806
DB01010	166.2401
DB01011	226.2738
DB01012	357.412
DB01013	466.97
DB01014	357.3175
DB01015	253.278
DB01016	494.004
DB01017	457.4764
DB01018	246.093
DB01019	161.2221
DB01020	191.1388
DB01021	380.656
DB01022	450.6957
DB01023	384.254
DB01024	320.3371
DB01025	298.2934
DB01026	531.431
DB01028	164.966
DB01029	428.5294
DB01030	421.4458
DB01031	167.205
DB01032	285.359
DB01033	152.177
DB01034	223.272
DB01035	235.3253
DB01036	325.4876
DB01037	187.286
DB01038	425.59
DB01039	360.831
DB01041	258.2295
DB01042	305.2
DB01043	179.3018
DB01044	375.3941
DB01045	822.9402
DB01046	390.468
DB01047	494.5249
DB01048	286.3323
DB01049	-1
DB01050	206.2808
DB01051	612.6243
DB01053	334.39
DB01054	360.3612
DB01055	198.176
DB01056	192.2575
DB01057	256.323
DB01058	312.4061
DB01059	319.3308
DB01060	365.404
DB01061	461.492
DB01062	357.4864
DB01063	411.56
DB01064	211.2576
DB01065	232.2783
DB01066	506.578
DB01067	445.535
DB01068	315.711
DB01069	284.419
DB01070	398.6642
DB01071	322.467
DB01072	704.8555
DB01073	285.235
DB01074	277.4879
DB01075	255.3547
DB01076	558.6398
DB01077	206.0282
DB01078	943.0791
DB01079	301.394
DB01080	129.157
DB01081	452.5873
DB01082	581.5741
DB01083	495.7348
DB01084	302.4145
DB01085	208.2569
DB01086	165.1891
DB01087	259.3467
DB01088	360.494
DB01089	578.6527
DB01090	240.428
DB01091	317.4672
DB01092	584.6525
DB01093	78.133
DB01094	302.2788
DB01095	411.4659
DB01096	279.3348
DB01097	270.2073
DB01098	481.538
DB01099	129.0925
DB01100	461.5462
DB01101	359.3501
DB01102	317.3795
DB01103	399.957
DB01104	306.23
DB01105	279.848
DB01106	420.528
DB01107	183.2475
DB01108	329.4333
DB01109	-1
DB01110	416.129
DB01111	1634.87
DB01112	424.385
DB01113	339.385
DB01114	274.788
DB01115	346.3346
DB01116	365.512
DB01117	366.837
DB01118	645.3116
DB01119	230.671
DB01120	323.411
DB01121	178.1879
DB01122	537.565
DB01123	209.2465
DB01124	270.348
DB01125	252.2647
DB01126	528.5297
DB01127	381.684
DB01128	430.373
DB01129	359.443
DB01130	488.577
DB01131	253.731
DB01132	356.439
DB01133	318.608
DB01134	414.586
DB01135	1035.2223
DB01136	406.4742
DB01137	361.3675
DB01138	404.482
DB01139	423.463
DB01140	363.388
DB01141	1270.274
DB01142	279.3761
DB01143	214.223
DB01144	305.159
DB01145	404.482
DB01146	281.392
DB01147	435.881
DB01148	391.4596
DB01149	470.007
DB01150	389.426
DB01151	266.3807
DB01152	1109.317
DB01153	437.77
DB01154	254.349
DB01155	389.3809
DB01156	239.741
DB01157	369.4176
DB01158	243.163
DB01159	197.382
DB01160	475.616
DB01161	270.755
